设备序列号 起点 终点 状态码  步行路程(米) 步行耗时(秒)
郑飞国际酒店-郑州师范学院', '34.70634,113.64191', '34.86471,113.62637', 状态0', '23672', '2374'], 'na na']
郑飞国际酒店-郑州市体育馆', '34.70634,113.64191', '34.76295,113.67994', 状态0', '9586', '1459'], 'na na']
郑飞国际酒店-郑州市体育场', '34.70634,113.64191', '34.76295,113.67994', 状态0', '9586', '1459'], 'na na']
郑飞国际酒店-华北水利水电大学', '34.70634,113.64191', '34.77593,113.76580', 状态0', '20213', '2017'], 'na na']
郑飞国际酒店-北龙湖', '34.70634,113.64191', '34.81829,113.74043', 状态0', '23498', '2353'], 'na na']
郑飞国际酒店-郑州奥体中心体育馆', '34.70634,113.64191', '34.73476,113.54065', 状态0', '14583', '1239'], 'na na']
郑州光华大酒店-河南工业大学', '34.80397,113.54451', '34.83330,113.55796', 状态0', '4414', '663'], 'na na']
郑州光华大酒店-郑州大学', '34.80397,113.54451', '34.81414,113.54220', 状态0', '1313', '209'], 'na na']
郑州光华大酒店-郑州工程技术学院', '34.80397,113.54451', '34.86633,113.65609', 状态0', '20544', '2448'], 'na na']
郑州光华大酒店-郑州师范学院', '34.80397,113.54451', '34.86471,113.62637', 状态0', '15687', '1937'], 'na na']
郑州光华大酒店-郑州市体育馆', '34.80397,113.54451', '34.76295,113.67994', 状态0', '18342', '2141'], 'na na']
郑州光华大酒店-郑州市体育场', '34.80397,113.54451', '34.76295,113.67994', 状态0', '18342', '2141'], 'na na']
郑州光华大酒店-华北水利水电大学', '34.80397,113.54451', '34.77593,113.76580', 状态0', '26786', '2627'], 'na na']
郑州光华大酒店-北龙湖', '34.80397,113.54451', '34.81829,113.74043', 状态0', '20722', '2015'], 'na na']
郑州光华大酒店-郑州奥体中心体育馆', '34.80397,113.54451', '34.73476,113.54065', 状态0', '19254', '1631'], 'na na']
铭汇文华酒店-河南工业大学', '34.72594,113.70572', '34.83330,113.55796', 状态0', '27910', '2510'], 'na na']
铭汇文华酒店-郑州大学', '34.72594,113.70572', '34.81414,113.54220', 状态0', '28077', '2464'], 'na na']
铭汇文华酒店-郑州工程技术学院', '34.72594,113.70572', '34.86633,113.65609', 状态0', '23244', '2392'], 'na na']
铭汇文华酒店-郑州师范学院', '34.72594,113.70572', '34.86471,113.62637', 状态0', '26026', '2338'], 'na na']
铭汇文华酒店-郑州市体育馆', '34.72594,113.70572', '34.76295,113.67994', 状态0', '7614', '1404'], 'na na']
铭汇文华酒店-郑州市体育场', '34.72594,113.70572', '34.76295,113.67994', 状态0', '7614', '1403'], 'na na']
铭汇文华酒店-华北水利水电大学', '34.72594,113.70572', '34.77593,113.76580', 状态0', '10795', '1348'], 'na na']
铭汇文华酒店-北龙湖', '34.72594,113.70572', '34.81829,113.74043', 状态0', '16561', '1573'], 'na na']
铭汇文华酒店-郑州奥体中心体育馆', '34.72594,113.70572', '34.73476,113.54065', 状态0', '20087', '2692'], 'na na']
嵩山饭店-河南工业大学', '34.74849,113.62979', '34.83330,113.55796', 状态0', '16101', '1955'], 'na na']
嵩山饭店-郑州大学', '34.74849,113.62979', '34.81414,113.54220', 状态0', '15862', '1904'], 'na na']
嵩山饭店-郑州工程技术学院', '34.74849,113.62979', '34.86633,113.65609', 状态0', '18499', '3140'], 'na na']
嵩山饭店-郑州师范学院', '34.74849,113.62979', '34.86471,113.62637', 状态0', '16089', '2438'], 'na na']
